ip,port,country
85.195.120.158,1080,Germany
178.62.85.75,8080,United Kingdom
103.158.121.79,8085,Indonesia
2.179.193.146,80,Iran
222.252.156.61,62694,Vietnam
138.204.68.42,1337,Brazil
78.47.195.69,8888,Germany
198.27.70.228,5566,Canada
1.214.62.105,8000,Korea
170.80.49.160,8080,Brazil
202.165.47.90,55443,Indonesia
116.73.14.16,8080,India
95.104.54.227,42119,Georgia
54.37.160.93,1080,France
50.114.128.29,3128,United States
46.147.110.7,8080,Russian Federation
34.138.225.120,8888,United States
103.59.176.154,8080,Bangladesh
188.43.15.89,8080,Russian Federation
138.201.120.214,1080,Germany
116.80.49.253,3128,Japan
85.195.120.157,1080,Germany
51.159.3.223,443,France
163.116.136.113,8081,United States
163.116.136.116,8081,United States
20.105.253.176,8080,Netherlands
163.116.136.114,8081,United States
47.242.145.75,59394,Hong Kong
163.116.136.115,8081,United States
47.243.135.104,8080,Hong Kong
103.92.114.2,80,India
163.116.136.117,8081,United States
103.213.208.131,8080,India
45.79.194.186,10001,United States
115.42.15.190,53281,Australia
202.180.20.10,55443,Indonesia
134.119.206.107,1080,Unknown
103.251.225.13,34052,India
81.91.144.190,55443,Iran
193.242.178.90,44551,Russian Federation
178.151.205.154,45099,Ukraine
188.65.237.46,49733,Russian Federation
77.238.79.111,8080,Bulgaria
50.114.128.23,3128,United States
114.7.27.98,8080,Indonesia
194.233.69.38,443,Singapore
103.87.170.122,58248,India
212.46.230.102,6969,Russian Federation
194.233.73.107,443,Singapore
118.99.103.222,61944,Indonesia
20.47.108.204,8888,United States
27.75.104.98,45006,Vietnam
170.155.5.235,8080,Argentina
66.94.97.238,443,United States
18.181.40.165,9527,Japan
110.74.199.16,63141,Cambodia
170.254.224.7,55443,Brazil
54.37.160.92,1080,France
184.155.36.194,8080,United States
202.77.120.38,57965,Indonesia
24.172.34.114,49920,United States
27.109.116.28,55443,Cambodia
192.121.102.237,8118,Netherlands
197.248.184.157,53281,Kenya
14.161.31.192,53281,Vietnam
5.189.184.6,80,Germany
94.180.106.94,32767,Russian Federation
103.78.73.91,3128,Indonesia
186.159.3.43,30334,Colombia
187.108.39.64,6666,Brazil
46.0.102.32,55443,Russian Federation
149.19.224.15,3128,United States
77.233.5.68,55443,Russian Federation
39.108.56.233,8080,China
43.129.223.147,38080,Hong Kong
115.220.1.139,17890,China
197.157.193.9,8080,Burundi
200.116.226.210,43049,Colombia
185.107.255.218,53281,Ukraine
183.173.99.126,10080,China
176.118.209.12,53281,Russian Federation
45.238.220.1,8181,Argentina
117.2.28.235,55443,Vietnam
154.0.15.166,46547,South Africa
95.9.194.13,56726,Turkey
160.16.233.90,3128,Japan
187.95.112.36,6666,Brazil
195.170.38.230,8080,Russian Federation
78.157.225.216,3128,Russian Federation
93.157.163.66,35081,Russian Federation
85.195.120.154,1080,Germany
170.239.255.2,55443,Brazil
05.149.219.201,8080,Unknown
116.80.70.3,3128,Japan
183.87.153.98,49602,India
186.159.3.193,56861,Colombia
41.65.252.101,1976,Egypt
213.6.66.66,48687,Palestinian Territory
128.201.138.21,3128,Brazil
167.172.173.210,36421,Germany
